Time (UTCG),azimuth_1,elevation_1,range_1,azimuth_2,elevation_2,range_2,azimuth_3,elevation_3,range_3
05 Mar 2024 18:35:00.000,146.232,7.728,1999.977896,53.670,7.845,1999.982180,117.137,42.240,794.573445
17 Mar 2024 14:35:00.000,200.312,9.963,1839.506494,216.265,22.165,1231.541101,70.021,15.593,1510.867636
19 Mar 2024 12:44:00.000,270.134,12.880,1662.201364,282.672,13.261,1637.941516,242.345,13.993,1589.294921
10 Mar 2024 13:18:00.000,77.819,8.224,1973.472782,89.154,9.835,1852.755345,40.551,16.014,1491.138845
26 Mar 2024 09:09:00.000,129.018,8.266,1963.556719,106.149,7.769,1999.998780,306.099,7.826,1999.990555
19 Mar 2024 07:45:00.000,35.316,71.257,591.134873,300.391,18.879,1362.933241,163.057,7.674,1999.978626
15 Mar 2024 12:59:00.000,292.486,63.487,622.416874,193.787,11.252,1749.237502,167.307,24.178,1161.456132
02 Mar 2024 17:03:00.000,82.939,7.842,1999.983483,323.703,18.161,1392.936268,50.779,7.822,1999.989889
27 Mar 2024 05:39:00.000,299.392,32.582,956.598958,251.060,21.982,1240.403988,102.388,68.624,596.774278
18 Mar 2024 06:08:00.000,137.513,21.141,1270.897616,54.991,8.496,1952.543941,104.881,67.371,600.508368
02 Mar 2024 18:37:00.000,287.405,22.273,1233.549386,215.100,21.363,1256.910795,54.003,15.360,1523.799681
13 Mar 2024 13:09:00.000,94.584,8.942,1918.144738,303.748,7.850,1999.990731,58.264,12.059,1706.839511
23 Mar 2024 05:48:00.000,250.457,13.704,1611.068766,329.311,23.425,1194.984862,252.906,35.816,891.469666
05 Mar 2024 11:46:00.000,185.316,17.948,1399.193366,127.156,8.992,1907.455770,86.011,7.773,1999.991073
16 Mar 2024 13:01:00.000,119.663,7.800,1999.976949,286.568,13.513,1623.617642,98.478,12.036,1704.407105
15 Mar 2024 09:41:00.000,67.262,15.734,1509.992668,74.534,12.971,1654.540544,63.643,7.807,1999.998946
31 Mar 2024 03:52:00.000,72.577,7.861,1999.974008,158.844,7.958,1977.590719,328.305,18.081,1393.948000
23 Mar 2024 09:13:00.000,318.789,59.244,645.525425,248.772,62.695,624.374023,145.863,38.954,839.635193
19 Mar 2024 06:02:00.000,192.444,18.863,1358.728488,31.210,32.623,955.483031,71.138,7.813,1999.989895
30 Mar 2024 07:16:00.000,123.893,8.818,1922.714693,3.274,25.919,1118.797725,168.027,28.586,1038.235855
04 Mar 2024 11:51:00.000,132.166,17.988,1398.950181,295.352,36.357,884.829803,42.798,21.478,1260.024926
22 Mar 2024 07:40:00.000,72.731,7.887,1999.986715,300.162,12.555,1678.901484,125.331,7.723,1999.973778
11 Mar 2024 16:32:00.000,211.009,20.063,1311.088194,80.854,19.665,1327.187357,295.876,7.788,1999.996269
06 Mar 2024 18:26:00.000,253.488,17.508,1420.468394,44.724,18.634,1373.467591,188.996,49.917,710.864840
10 Mar 2024 14:50:00.000,290.241,7.896,1999.975481,63.157,7.858,1999.982903,83.706,19.999,1311.300675
