Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
30 Mar 2024 03:48:00.000,276.579,21.558,1257.135084
13 Mar 2024 14:41:00.000,283.931,7.885,1999.971094
19 Mar 2024 12:43:00.000,277.111,7.874,1999.987913
10 Mar 2024 11:28:00.000,254.870,7.835,1999.979343
29 Mar 2024 05:39:00.000,82.185,7.855,1999.976128
24 Mar 2024 07:34:00.000,79.691,8.222,1973.438723
08 Mar 2024 14:59:00.000,307.117,34.231,925.497096
15 Mar 2024 09:38:00.000,23.152,66.237,610.129958
02 Mar 2024 17:00:00.000,59.354,34.251,924.006661
17 Mar 2024 07:50:00.000,199.759,56.284,663.336020
23 Mar 2024 04:11:00.000,166.283,22.681,1214.463577
29 Mar 2024 07:11:00.000,288.965,13.754,1612.456118
10 Mar 2024 14:52:00.000,292.554,22.184,1238.365665
26 Mar 2024 07:27:00.000,87.443,14.827,1553.801260
09 Mar 2024 11:35:00.000,238.501,62.727,625.818476
21 Mar 2024 05:53:00.000,231.591,7.764,1999.991770
06 Mar 2024 11:43:00.000,185.658,28.224,1053.861252
04 Mar 2024 16:51:00.000,305.262,34.771,914.814702
26 Mar 2024 07:26:00.000,81.926,23.479,1193.238207
12 Mar 2024 11:22:00.000,269.479,7.861,1999.995544
24 Mar 2024 10:55:00.000,157.249,7.754,1999.984982
26 Mar 2024 04:00:00.000,230.610,21.875,1243.169206
04 Mar 2024 15:16:00.000,68.903,14.252,1585.757583
18 Mar 2024 11:09:00.000,326.350,56.949,660.395769
25 Mar 2024 09:05:00.000,285.047,22.210,1236.601961
25 Mar 2024 07:31:00.000,84.720,8.392,1959.914054
09 Mar 2024 13:20:00.000,70.161,14.190,1589.835745
19 Mar 2024 12:49:00.000,172.583,20.243,1304.392121
30 Mar 2024 07:14:00.000,130.142,24.102,1170.236615
19 Mar 2024 09:27:00.000,53.910,33.482,940.164008
22 Mar 2024 04:12:00.000,179.756,11.526,1734.919434
06 Mar 2024 15:09:00.000,69.507,22.133,1239.405002
09 Mar 2024 09:56:00.000,138.071,21.508,1258.487536
31 Mar 2024 02:04:00.000,237.184,21.965,1239.449547
