Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
11 Mar 2024 13:12:00.000,26.040,20.748,1287.466299
19 Mar 2024 07:40:00.000,274.556,13.159,1639.773162
26 Mar 2024 03:59:00.000,254.515,21.845,1240.816919
09 Mar 2024 09:50:00.000,210.174,7.695,1999.990210
03 Mar 2024 11:49:00.000,189.349,7.686,1999.986195
08 Mar 2024 14:56:00.000,308.776,7.837,1999.977463
03 Mar 2024 20:22:00.000,156.936,7.641,1999.991340
09 Mar 2024 16:39:00.000,119.818,74.347,578.766811
26 Mar 2024 09:02:00.000,309.931,21.765,1248.560722
17 Mar 2024 12:53:00.000,341.893,55.430,667.867890
05 Mar 2024 16:46:00.000,309.191,7.828,1999.991568
27 Mar 2024 05:38:00.000,316.285,17.263,1430.434222
17 Mar 2024 06:08:00.000,158.042,21.338,1258.231024
13 Mar 2024 14:50:00.000,114.841,9.135,1895.352502
01 Mar 2024 20:19:00.000,294.557,7.787,1999.991107
14 Mar 2024 09:43:00.000,48.462,12.835,1662.911528
08 Mar 2024 18:21:00.000,239.498,21.522,1252.443186
16 Mar 2024 06:11:00.000,155.718,13.861,1594.688242
20 Mar 2024 05:58:00.000,225.898,35.634,892.948051
24 Mar 2024 02:29:00.000,113.029,7.705,1999.997227
29 Mar 2024 08:53:00.000,278.197,20.852,1280.128047
25 Mar 2024 09:07:00.000,330.405,31.783,970.801778
23 Mar 2024 05:49:00.000,276.391,20.516,1291.927697
23 Mar 2024 12:34:00.000,235.258,12.368,1683.387460
24 Mar 2024 04:06:00.000,212.360,34.473,912.829236
21 Mar 2024 12:42:00.000,196.832,26.528,1094.400196
02 Mar 2024 18:40:00.000,42.770,40.136,823.407780
29 Mar 2024 03:49:00.000,283.909,12.807,1658.796071
11 Mar 2024 13:07:00.000,305.513,7.838,1999.984682
30 Mar 2024 08:49:00.000,282.737,7.784,1999.989061
11 Mar 2024 16:28:00.000,288.989,7.804,1999.982126
03 Mar 2024 18:32:00.000,304.704,7.812,1999.992193
24 Mar 2024 02:27:00.000,143.256,8.992,1900.607618
16 Mar 2024 09:35:00.000,27.394,20.904,1281.678805
16 Mar 2024 14:40:00.000,160.271,16.810,1445.343948
12 Mar 2024 14:52:00.000,101.096,14.500,1564.107552
29 Mar 2024 03:53:00.000,5.064,29.410,1023.087626
14 Mar 2024 09:39:00.000,320.132,40.560,818.992184
21 Mar 2024 09:19:00.000,345.546,22.165,1235.826233
27 Mar 2024 07:21:00.000,8.759,28.104,1056.605201
25 Mar 2024 05:49:00.000,50.663,7.824,1999.997418
30 Mar 2024 03:47:00.000,304.170,18.208,1386.633723
27 Mar 2024 09:04:00.000,118.469,25.416,1127.087886
19 Mar 2024 05:59:00.000,218.436,13.361,1622.651331
08 Mar 2024 18:19:00.000,269.147,12.292,1689.711630
25 Mar 2024 09:10:00.000,74.727,32.045,964.273051
11 Mar 2024 14:53:00.000,69.672,29.542,1020.022178
17 Mar 2024 12:56:00.000,102.322,24.226,1164.028573
24 Mar 2024 10:53:00.000,157.857,34.485,914.150332
13 Mar 2024 09:41:00.000,273.633,33.490,934.952555
24 Mar 2024 05:47:00.000,304.846,27.421,1072.898938
28 Mar 2024 09:01:00.000,136.899,24.146,1164.712643
20 Mar 2024 11:02:00.000,334.744,30.308,1003.869191
19 Mar 2024 12:51:00.000,133.814,14.913,1540.457588
17 Mar 2024 12:51:00.000,309.481,21.848,1246.313775
08 Mar 2024 18:23:00.000,196.683,20.538,1286.906741
14 Mar 2024 08:00:00.000,95.133,28.961,1033.452765
01 Mar 2024 17:01:00.000,1.274,22.654,1217.934627
24 Mar 2024 09:10:00.000,338.355,28.544,1045.823968
03 Mar 2024 15:16:00.000,29.084,19.250,1345.765696
13 Mar 2024 11:23:00.000,352.838,24.279,1166.188320
11 Mar 2024 09:44:00.000,232.902,13.528,1615.955859
11 Mar 2024 16:29:00.000,284.436,13.344,1630.370245
04 Mar 2024 11:54:00.000,77.982,7.801,1999.976229
10 Mar 2024 11:34:00.000,26.227,26.829,1091.206663
31 Mar 2024 02:03:00.000,261.593,21.489,1253.099615
03 Mar 2024 15:18:00.000,50.821,7.823,1999.990206
24 Mar 2024 09:14:00.000,77.801,18.206,1387.987731
19 Mar 2024 09:25:00.000,0.979,22.699,1217.586051
29 Mar 2024 05:38:00.000,60.218,7.807,1999.986549
24 Mar 2024 09:15:00.000,89.797,7.780,1999.989552
18 Mar 2024 06:03:00.000,203.708,12.897,1648.596504
22 Mar 2024 12:39:00.000,214.237,19.262,1339.445342
23 Mar 2024 04:13:00.000,82.372,19.145,1346.477608
09 Mar 2024 16:42:00.000,120.515,15.683,1500.797297
01 Mar 2024 16:58:00.000,310.313,12.203,1699.257903
16 Mar 2024 12:55:00.000,329.835,31.963,967.434659
17 Mar 2024 07:50:00.000,5.803,61.464,630.025647
13 Mar 2024 13:02:00.000,316.746,12.610,1676.499411
29 Mar 2024 02:16:00.000,63.290,7.783,1999.990240
26 Mar 2024 02:24:00.000,88.581,10.660,1791.675546
30 Mar 2024 08:53:00.000,223.198,29.416,1020.429164
